Kabupaten/Kota,Provinsi,Sambal jadi,"Bumbu maskan jadi/kemasan, bumbu racikan",Cabe merah,Cabe hijau,Cabe rawit,Tahun
Ogan Komering Ulu Selatan,Sumatera Selatan,3,118,1474,224,1574,2018
Ogan Komering Ulu Timur,Sumatera Selatan,10,151,818,192,1975,2018
Ogan Ilir,Sumatera Selatan,34,94,1738,170,516,2018
Empat Lawang,Sumatera Selatan,9,63,1487,32,1078,2018
Penukal Abab Lematang Ilir,Sumatera Selatan,24,83,2118,407,1015,2018
Musi Rawas Utara,Sumatera Selatan,30,107,3115,267,1060,2018
Palembang,Sumatera Selatan,203,278,2131,212,551,2018
Prabumulih,Sumatera Selatan,97,104,1889,129,561,2018
Pagar Alam,Sumatera Selatan,25,173,2579,164,619,2018
Lubuklinggau,Sumatera Selatan,64,162,2608,154,924,2018
Bengkulu Selatan,Bengkulu,14,151,3052,30,398,2018
Rejang Lebong,Bengkulu,14,91,3803,191,1282,2018
Bengkulu Utara,Bengkulu,22,193,3602,110,1279,2018
Kaur,Bengkulu,15,127,3646,83,492,2018
Seluma,Bengkulu,2,105,3864,32,658,2018
Mukomuko,Bengkulu,24,159,4415,170,1655,2018
Lebong,Bengkulu,5,74,4956,212,503,2018
Kepahiang,Bengkulu,32,149,3137,213,1748,2018
Bengkulu Tengah,Bengkulu,19,188,4627,66,947,2018
Bengkulu,Bengkulu,160,216,4088,233,567,2018
Lampung Barat,Lampung,5,246,776,147,2059,2018
Tanggamus,Lampung,16,132,752,135,1420,2018
Lampung Selatan,Lampung,20,150,1137,141,1296,2018
Lampung Timur,Lampung,4,89,612,133,1807,2018
Lampung Tengah,Lampung,4,178,576,156,1731,2018
Lampung Utara,Lampung,10,119,1207,160,1284,2018
Way Kanan,Lampung,4,170,1030,125,2111,2018
Tulangbawang,Lampung,5,195,1032,92,1873,2018
Pesawaran,Lampung,36,185,1048,107,1464,2018
Pringsewu,Lampung,23,61,997,153,1441,2018
Mesuji,Lampung,36,204,718,317,2207,2018
Tulang Bawang Barat,Lampung,16,185,844,130,1284,2018
Pesisir Barat,Lampung,19,360,1856,329,1061,2018
Bandar Lampung,Lampung,117,322,1678,246,1085,2018
Metro,Lampung,69,238,1416,317,1177,2018
Bangka,Kepulauan Bangka Belitung,184,116,1653,108,1413,2018
Belitung,Kepulauan Bangka Belitung,100,87,2013,58,2343,2018
Bangka Barat,Kepulauan Bangka Belitung,16,90,1927,75,1927,2018
Bangka Tengah,Kepulauan Bangka Belitung,143,132,2104,96,2305,2018
Bangka Selatan,Kepulauan Bangka Belitung,44,150,1839,76,2971,2018
Belitung Timur,Kepulauan Bangka Belitung,81,60,2018,77,2278,2018
Pangkal Pinang,Kepulauan Bangka Belitung,130,116,1967,155,1947,2018
Karimun,Kepulauan Riau,114,298,2005,307,1486,2018
Bintan,Kepulauan Riau,111,331,1865,395,1813,2018
Natuna,Kepulauan Riau,257,141,1334,243,1992,2018
Lingga,Kepulauan Riau,175,158,577,60,1660,2018
Kepulauan Anambas,Kepulauan Riau,338,309,1343,454,4405,2018
Batam,Kepulauan Riau,236,303,3003,532,1283,2018
Tanjung Pinang,Kepulauan Riau,165,213,2827,669,1617,2018
Kep. Seribu,DKI Jakarta,146,211,1995,233,2291,2018
Jakarta Selatan,D.K.I. Jakarta,312,422,1798,215,739,2018
Jakarta Timur,D.K.I. Jakarta,193,427,1651,308,1038,2018
Jakarta Pusat,D.K.I. Jakarta,125,379,1684,248,805,2018
Jakarta Barat,D.K.I. Jakarta,162,351,1685,268,1099,2018
Jakarta Utara,D.K.I. Jakarta,134,407,1269,253,976,2018
Bogor,Jawa Barat,85,322,1437,133,977,2018
Sukabumi,Jawa Barat,29,299,428,47,1166,2018
Cianjur,Jawa Barat,51,268,232,67,638,2018
Bandung,Jawa Barat,107,403,281,104,738,2018
Garut,Jawa Barat,32,263,172,65,728,2018
Tasikmalaya,Jawa Barat,17,218,181,80,675,2018
Ciamis,Jawa Barat,17,286,325,155,890,2018
Kuningan,Jawa Barat,20,141,619,123,834,2018
Cirebon,Jawa Barat,48,228,624,143,635,2018
Majalengka,Jawa Barat,31,152,346,54,572,2018
Sumedang,Jawa Barat,41,396,219,43,693,2018
Indramayu,Jawa Barat,74,527,567,127,778,2018
Subang,Jawa Barat,52,394,476,99,990,2018
Purwakarta,Jawa Barat,43,309,580,73,847,2018
Karawang,Jawa Barat,100,351,957,146,1184,2018
Bekasi,Jawa Barat,62,274,1622,183,1035,2018
Bandung Barat,Jawa Barat,30,332,260,59,749,2018
Pangandaran,Jawa Barat,28,324,215,268,1582,2018
Depok,Jawa Barat,181,495,1856,194,781,2018
Cimahi,Jawa Barat,152,485,642,190,693,2018
Banjar,Jawa Barat,19,281,385,275,1129,2018
Cilacap,Jawa Tengah,29,94,454,194,1418,2018
Banyumas,Jawa Tengah,29,175,789,232,1119,2018
Purbalingga,Jawa Tengah,17,60,623,269,739,2018
Banjarnegara,Jawa Tengah,12,244,439,149,788,2018
Kebumen,Jawa Tengah,12,68,401,97,1284,2018
Purworejo,Jawa Tengah,13,43,495,39,1194,2018
Wonosobo,Jawa Tengah,14,131,495,271,976,2018
Magelang,Jawa Tengah,21,97,330,92,784,2018
Boyolali,Jawa Tengah,28,164,428,125,1083,2018
Klaten,Jawa Tengah,41,124,468,81,671,2018
Sukoharjo,Jawa Tengah,27,111,590,222,790,2018
Wonogiri,Jawa Tengah,7,238,512,360,1521,2018
Karanganyar,Jawa Tengah,9,169,591,187,955,2018
Sragen,Jawa Tengah,24,178,543,111,1209,2018
Grobogan,Jawa Tengah,19,109,665,136,1277,2018
Blora,Jawa Tengah,25,69,914,165,1022,2018
Rembang,Jawa Tengah,9,160,1008,211,850,2018
Pati,Jawa Tengah,8,123,846,139,696,2018
Kudus,Jawa Tengah,19,136,775,124,402,2018
Jepara,Jawa Tengah,21,89,564,100,486,2018
Demak,Jawa Tengah,17,196,1211,179,629,2018
Semarang,Jawa Tengah,43,144,834,77,1102,2018
Temanggung,Jawa Tengah,7,82,388,345,801,2018
Kendal,Jawa Tengah,28,236,849,207,1025,2018
Batang,Jawa Tengah,17,126,545,85,819,2018
Pekalongan,Jawa Tengah,18,150,608,93,668,2018
Pemalang,Jawa Tengah,46,158,574,106,802,2018
Tegal,Jawa Tengah,31,169,919,175,673,2018
Brebes,Jawa Tengah,49,225,564,147,687,2018
Surakarta,Jawa Tengah,94,242,696,198,877,2018
Salatiga,Jawa Tengah,42,109,631,69,715,2018
Kulon Progo,D.I. Yogyakarta,13,67,430,55,505,2018
Bantul,D.I. Yogyakarta,63,67,473,104,716,2018
Gunung Kidul,D.I. Yogyakarta,5,129,384,405,1254,2018
Sleman,D.I. Yogyakarta,50,166,568,142,862,2018
Yogyakarta,D.I. Yogyakarta,138,128,630,237,644,2018
Pacitan,Jawa Timur,10,214,215,181,1654,2018
Ponorogo,Jawa Timur,16,68,258,84,1621,2018
Trenggalek,Jawa Timur,13,85,143,48,1652,2018
Tulungagung,Jawa Timur,32,75,203,40,1799,2018
Blitar,Jawa Timur,33,50,96,37,1450,2018
Kediri,Jawa Timur,35,146,369,28,1904,2018
Malang,Jawa Timur,28,183,310,18,1265,2018
Lumajang,Jawa Timur,14,113,217,44,1016,2018
Jember,Jawa Timur,12,159,157,174,956,2018
Banyuwangi,Jawa Timur,22,136,389,30,2006,2018
Bondowoso,Jawa Timur,9,156,115,72,974,2018
Situbondo,Jawa Timur,22,209,294,6,1076,2018
Probolinggo,Jawa Timur,8,138,203,18,815,2018
Pasuruan,Jawa Timur,22,183,695,19,989,2018
Sidoarjo,Jawa Timur,119,512,661,57,1162,2018
Mojokerto,Jawa Timur,30,234,513,63,1184,2018
Jombang,Jawa Timur,28,139,316,69,1295,2018
Nganjuk,Jawa Timur,67,95,249,89,2007,2018
Madiun,Jawa Timur,82,104,316,97,1691,2018
Magetan,Jawa Timur,50,93,509,146,1150,2018
Ngawi,Jawa Timur,14,116,433,170,1002,2018
Bojonegoro,Jawa Timur,5,79,700,176,1191,2018
Tuban,Jawa Timur,8,77,805,123,1407,2018
Lamongan,Jawa Timur,24,68,436,76,1479,2018
Gresik,Jawa Timur,64,345,602,141,1007,2018
Bangkalan,Jawa Timur,20,119,540,14,1065,2018
Sampang,Jawa Timur,13,63,243,12,1312,2018
Pamekasan,Jawa Timur,5,168,242,9,745,2018
Sumenep,Jawa Timur,12,216,333,151,625,2018
Surabaya,Jawa Timur,161,442,799,84,1366,2018
Batu,Jawa Timur,48,158,454,19,1243,2018
Pandeglang,Banten,41,264,649,61,811,2018
Lebak,Banten,61,234,461,95,883,2018
Tangerang,Banten,96,341,1559,181,1003,2018
Serang,Banten,55,200,1250,232,882,2018
Cilegon,Banten,130,251,1686,112,1250,2018
Tangerang Selatan,Banten,221,501,1969,492,1419,2018
Jembrana,Bali,16,68,534,5,1326,2018
Tabanan,Bali,39,337,298,86,1353,2018
Badung,Bali,121,595,853,127,1621,2018
Gianyar,Bali,23,104,493,160,1179,2018
Klungkung,Bali,76,76,659,464,1467,2018
Bangli,Bali,14,66,282,48,1712,2018
Karangasem,Bali,17,29,283,,2040,2018
Buleleng,Bali,5,48,557,19,1498,2018
Denpasar,Bali,120,419,794,23,1424,2018
Lombok Barat,Nusa Tenggara Barat,16,175,464,148,1812,2018
Lombok Tengah,Nusa Tenggara Barat,24,158,124,49,2028,2018
Lombok Timur,Nusa Tenggara Barat,36,118,370,97,2151,2018
Sumbawa,Nusa Tenggara Barat,31,196,293,50,1401,2018
Dompu,Nusa Tenggara Barat,38,99,201,11,793,2018
Bima,Nusa Tenggara Barat,28,68,202,5,486,2018
Sumbawa Barat,Nusa Tenggara Barat,20,145,536,90,1883,2018
Lombok Utara,Nusa Tenggara Barat,9,167,327,39,2052,2018
Mataram,Nusa Tenggara Barat,67,238,788,118,1481,2018
Sumba Barat,Nusa Tenggara Timur,4,70,240,136,1117,2018
Sumba Timur,Nusa Tenggara Timur,2,38,107,25,768,2018
Kupang,Nusa Tenggara Timur,12,21,213,20,508,2018
Timor Tengah Selatan,Nusa Tenggara Timur,1,52,162,7,766,2018
Timor Tengah Utara,Nusa Tenggara Timur,14,54,276,49,777,2018
Belu,Nusa Tenggara Timur,1,91,398,50,405,2018
Alor,Nusa Tenggara Timur,40,57,158,90,538,2018
Lembata,Nusa Tenggara Timur,15,109,158,37,226,2018
Flores Timur,Nusa Tenggara Timur,13,59,163,43,134,2018
Sikka,Nusa Tenggara Timur,31,77,127,9,529,2018
Ende,Nusa Tenggara Timur,17,30,266,5,1092,2018
Ngada,Nusa Tenggara Timur,22,60,311,38,901,2018
Manggarai,Nusa Tenggara Timur,9,29,49,7,613,2018
Rote Ndao,Nusa Tenggara Timur,15,26,46,4,583,2018
Manggarai Barat,Nusa Tenggara Timur,40,74,257,44,311,2018
Sumba Tengah,Nusa Tenggara Timur,26,54,215,275,765,2018
Sumba Barat Daya,Nusa Tenggara Timur,5,24,74,35,904,2018
Nagekeo,Nusa Tenggara Timur,22,12,142,14,1100,2018
Manggarai Timur,Nusa Tenggara Timur,2,14,87,15,425,2018
Sabu Raijua,Nusa Tenggara Timur,12,195,307,50,667,2018
Malaka,Nusa Tenggara Timur,,115,243,61,347,2018
Sambas,Kalimantan Barat,41,139,572,165,587,2018
Bengkayang,Kalimantan Barat,44,271,125,97,1461,2018
Landak,Kalimantan Barat,23,111,56,104,827,2018
Mempawah,Kalimantan Barat,33,313,317,41,780,2018
Sanggau,Kalimantan Barat,67,316,307,36,1260,2018
Ketapang,Kalimantan Barat,20,196,796,57,1903,2018
Sintang,Kalimantan Barat,25,245,204,73,1561,2018
Kapuas Hulu,Kalimantan Barat,54,200,194,31,749,2018
Sekadau,Kalimantan Barat,64,240,146,209,845,2018
Melawi,Kalimantan Barat,14,164,231,204,2584,2018
Kayong Utara,Kalimantan Barat,59,188,818,32,1800,2018
Kubu Raya,Kalimantan Barat,28,222,387,66,1044,2018
Pontianak,Kalimantan Barat,118,366,342,126,1213,2018
Singkawang,Kalimantan Barat,96,258,283,215,1014,2018
Kotawaringin Barat,Kalimantan Tengah,35,147,709,55,2696,2018
Kotawaringin Timur,Kalimantan Tengah,79,350,267,29,1693,2018
Kapuas,Kalimantan Tengah,45,338,106,110,927,2018
Barito Selatan,Kalimantan Tengah,91,416,227,138,1082,2018
Barito Utara,Kalimantan Tengah,84,396,87,31,890,2018
Sukamara,Kalimantan Tengah,70,228,340,157,2747,2018
Lamandau,Kalimantan Tengah,35,248,550,213,3270,2018
Seruyan,Kalimantan Tengah,71,477,492,23,2371,2018
Katingan,Kalimantan Tengah,105,475,200,46,1912,2018
Pulang Pisau,Kalimantan Tengah,13,320,130,38,1752,2018
Gunung Mas,Kalimantan Tengah,39,373,38,9,1736,2018
Barito Timur,Kalimantan Tengah,56,340,65,45,837,2018
Murung Raya,Kalimantan Tengah,141,266,154,108,1190,2018
Palangka Raya,Kalimantan Tengah,136,399,409,232,1272,2018
Tanah Laut,Kalimantan Selatan,30,265,175,72,882,2018
Kotabaru,Kalimantan Selatan,220,319,127,97,1155,2018
Barito Kuala,Kalimantan Selatan,29,228,234,175,659,2018
Tapin,Kalimantan Selatan,63,273,333,206,991,2018
Hulu Sungai Selatan,Kalimantan Selatan,29,199,221,245,517,2018
Hulu Sungai Tengah,Kalimantan Selatan,21,192,116,90,488,2018
Hulu Sungai Utara,Kalimantan Selatan,43,307,266,237,563,2018
Tabalong,Kalimantan Selatan,35,320,212,113,721,2018
Tanah Bumbu,Kalimantan Selatan,22,300,309,94,1292,2018
Balangan,Kalimantan Selatan,17,230,132,107,585,2018
Banjarmasin,Kalimantan Selatan,209,429,541,409,739,2018
Banjar Baru,Kalimantan Selatan,117,416,471,277,1039,2018
Paser,Kalimantan Timur,31,247,324,99,1147,2018
Kutai Barat,Kalimantan Timur,67,263,333,26,1418,2018
Kutai Kartanegara,Kalimantan Timur,57,289,604,132,1113,2018
Kutai Timur,Kalimantan Timur,236,291,475,71,1740,2018
Berau,Kalimantan Timur,168,254,972,195,1308,2018
Penajam Paser Utara,Kalimantan Timur,51,395,244,29,1802,2018
Mahakam Ulu,Kalimantan Timur,31,205,126,35,1554,2018
Balikpapan,Kalimantan Timur,184,498,796,168,1303,2018
Samarinda,Kalimantan Timur,152,457,561,117,1053,2018
Bontang,Kalimantan Timur,222,247,441,63,1628,2018
Malinau,Kalimantan Utara,61,279,441,85,1790,2018
Bulungan,Kalimantan Utara,54,213,206,48,1769,2018
Tana Tidung,Kalimantan Utara,135,299,505,10,1826,2018
Nunukan,Kalimantan Utara,63,225,224,34,1307,2018
Tarakan,Kalimantan Utara,144,214,481,43,1302,2018
Bolaang Mongondow,Sulawesi Utara,2,170,487,32,2983,2018
Minahasa,Sulawesi Utara,12,119,496,41,2717,2018
Kepulauan Sangihe,Sulawesi Utara,29,232,268,8,2091,2018
Kepulauan Talaud,Sulawesi Utara,8,196,37,36,3201,2018
Minahasa Selatan,Sulawesi Utara,2,96,551,19,2733,2018
Minahasa Utara,Sulawesi Utara,65,105,420,18,2995,2018
Bolaang Mongondow Utara,Sulawesi Utara,11,120,1115,9,1739,2018
Siau Tagulandang Biaro,Sulawesi Utara,8,95,52,7,2533,2018
Minahasa Tenggara,Sulawesi Utara,8,109,398,64,3498,2018
Bolaang Mongondow Selatan,Sulawesi Utara,9,229,320,15,2827,2018
Bolaang Mongondow Timur,Sulawesi Utara,11,195,452,45,2759,2018
Manado,Sulawesi Utara,108,217,405,38,3441,2018
Bitung,Sulawesi Utara,62,282,184,18,3099,2018
Tomohon,Sulawesi Utara,29,50,36,4,3099,2018
Kotamobagu,Sulawesi Utara,41,138,179,20,2039,2018
Banggai Kepulauan,Sulawesi Tengah,3,100,156,,1326,2018
Banggai,Sulawesi Tengah,42,196,456,28,1233,2018
Morowali,Sulawesi Tengah,95,199,500,6,1274,2018
Poso,Sulawesi Tengah,67,176,69,33,1812,2018
Donggala,Sulawesi Tengah,17,146,386,99,1201,2018
Toli-Toli,Sulawesi Tengah,32,204,413,23,1035,2018
Buol,Sulawesi Tengah,9,58,39,15,1483,2018
Parigi Moutong,Sulawesi Tengah,6,99,266,39,1520,2018
Tojo Una-Una,Sulawesi Tengah,19,189,106,3,1382,2018
Sigi,Sulawesi Tengah,20,142,313,194,1930,2018
Banggai Laut,Sulawesi Tengah,78,185,230,0,1506,2018
