Kabupaten/Kota,Provinsi,Sambal jadi,"Bumbu maskan jadi/kemasan, bumbu racikan",Cabe merah,Cabe hijau,Cabe rawit,Tahun
Sorong Selatan,Papua Barat,161,50,181,49,1247,2018
Sorong,Papua Barat,49,108,350,17,1746,2018
Raja Ampat,Papua Barat,250,206,575,35,1802,2018
Tambrauw,Papua Barat,9,109,22,19,827,2018
Maybrat,Papua Barat,37,264,78,37,1708,2018
Manokwari Selatan,Papua Barat,17,29,199,24,1270,2018
Pegunungan Arfak,Papua Barat,1,84,52,18,651,2018
Merauke,Papua,28,216,354,39,1281,2018
Jayawijaya,Papua,2,28,484,52,913,2018
Jayapura,Papua,49,186,912,221,1319,2018
Nabire,Papua,128,368,583,126,1708,2018
Kepulauan Yapen,Papua,48,256,571,48,899,2018
Biak Numfor,Papua,113,204,262,59,1167,2018
Paniai,Papua,21,12,122,2,1858,2018
Puncak Jaya,Papua,11,,138,,538,2018
Mimika,Papua,203,322,630,218,3375,2018
Boven Digoel,Papua,94,176,662,31,2997,2018
Mappi,Papua,49,127,588,50,1184,2018
Asmat,Papua,41,31,238,62,214,2018
Yahukimo,Papua,,15,164,,917,2018
Pegunungan Bintang,Papua,95,28,148,15,1096,2018
Tolikara,Papua,4,86,337,56,1603,2018
Sarmi,Papua,113,115,609,31,1667,2018
Keerom,Papua,13,96,350,25,1450,2018
Waropen,Papua,318,95,803,266,2170,2018
Supiori,Papua,41,59,233,269,819,2018
Mamberamo Raya,Papua,1,14,194,30,1262,2018
Nduga,Papua,,5,3,80,1523,2018
Lanny Jaya,Papua,,107,104,,2727,2018
Mamberamo Tengah,Papua,,,12,,1678,2018
Yalimo,Papua,,16,92,,2584,2018
Puncak,Jawa Barat,,,,,7798,2018
Dogiyai,Papua,,,62,,714,2018
Intan Jaya,Papua,,12,574,,1431,2018
Deiyai,Papua,2,6,694,14,933,2018
Simeulue,Aceh,7,58,1981,159,1374,2019
Aceh Singkil,Aceh,18,36,2193,314,505,2019
Aceh Selatan,Aceh,10,46,1785,67,1392,2019
Aceh Tenggara,Aceh,31,63,1513,252,1206,2019
Aceh Timur,Aceh,12,94,1274,614,644,2019
Aceh Tengah,Aceh,17,115,1563,543,842,2019
Aceh Barat,Aceh,48,150,1263,96,1177,2019
Aceh Besar,Aceh,67,83,1468,455,776,2019
Pidie,Aceh,1,134,1082,455,472,2019
Bireuen,Aceh,4,74,1245,364,461,2019
Aceh Utara,Aceh,2,153,1122,483,583,2019
Aceh Barat Daya,Aceh,,28,1539,55,991,2019
Gayo Lues,Aceh,16,155,1713,264,614,2019
Aceh Tamiang,Aceh,8,86,1390,530,955,2019
Nagan Raya,Aceh,38,32,1472,149,1664,2019
Aceh Jaya,Aceh,29,69,1477,189,1199,2019
Bener Meriah,Aceh,1,137,1566,606,1002,2019
Pidie Jaya,Aceh,4,79,1328,394,505,2019
Banda Aceh,Aceh,67,179,1327,344,614,2019
Sabang,Aceh,51,128,1688,538,705,2019
Langsa,Aceh,52,194,1327,448,664,2019
Lhokseumawe,Aceh,42,228,1498,465,480,2019
Subulussalam,Aceh,10,87,1716,92,278,2019
Nias,Sumatera Utara,0,83,972,101,1611,2019
Mandailing Natal,Sumatera Utara,20,92,2488,174,763,2019
Tapanuli Selatan,Sumatera Utara,2,141,1984,95,288,2019
Tapanuli Tengah,Sumatera Utara,9,58,2011,42,153,2019
Tapanuli Utara,Sumatera Utara,3,104,1588,14,317,2019
Toba Samosir,Sumatera Utara,20,50,1309,63,398,2019
Labuhan Batu,Sumatera Utara,12,98,1663,288,790,2019
Asahan,Sumatera Utara,15,121,1546,540,933,2019
Simalungun,Sumatera Utara,6,84,1377,366,913,2019
Dairi,Sumatera Utara,4,66,1025,35,816,2019
Karo,Sumatera Utara,2,91,1752,159,1334,2019
Deli Serdang,Sumatera Utara,35,81,1604,323,1150,2019
Langkat,Sumatera Utara,19,56,1476,282,978,2019
Nias Selatan,Sumatera Utara,3,131,1676,107,1099,2019
Humbang Hasundutan,Sumatera Utara,,95,1286,22,506,2019
Pakpak Bharat,Sumatera Utara,13,78,1084,64,733,2019
Samosir,Sumatera Utara,12,122,1211,36,620,2019
Serdang Bedagai,Sumatera Utara,25,99,1531,359,919,2019
Batu Bara,Sumatera Utara,16,34,1730,495,785,2019
Padang Lawas Utara,Sumatera Utara,8,57,1731,72,541,2019
Padang Lawas,Sumatera Utara,0,169,1770,76,529,2019
Labuhan Batu Selatan,Sumatera Utara,5,108,1578,316,1240,2019
Labuhan Batu Utara,Sumatera Utara,2,91,1535,364,984,2019
Nias Utara,Sumatera Utara,1,146,1094,133,1598,2019
Nias Barat,Sumatera Utara,1,77,1380,122,512,2019
Sibolga,Sumatera Utara,9,23,2064,23,57,2019
Tanjung Balai,Sumatera Utara,8,200,1681,273,323,2019
Pematang Siantar,Sumatera Utara,9,88,1250,167,307,2019
Tebing Tinggi,Sumatera Utara,69,78,1771,454,762,2019
Medan,Sumatera Utara,198,223,1410,296,502,2019
Binjai,Sumatera Utara,65,106,1559,264,822,2019
Padangsidimpuan,Sumatera Utara,10,145,1994,137,264,2019
Gunungsitoli,Sumatera Utara,7,62,1407,14,998,2019
Kepulauan Mentawai,Sumatera Barat,19,29,3766,195,721,2019
Pesisir Selatan,Sumatera Barat,6,63,3282,261,183,2019
Solok,Sumatera Barat,56,131,3409,138,78,2019
Sijunjung,Sumatera Barat,6,53,2943,161,919,2019
Tanah Datar,Sumatera Barat,23,161,2693,178,129,2019
Padang Pariaman,Sumatera Barat,19,42,2855,149,513,2019
Agam,Sumatera Barat,38,157,2802,236,280,2019
Lima Puluh Kota,Sumatera Barat,8,56,3456,96,479,2019
Pasaman,Sumatera Barat,1,102,2520,109,758,2019
Solok Selatan,Sumatera Barat,11,44,2951,366,226,2019
Dharmasraya,Sumatera Barat,22,116,2725,362,825,2019
Pasaman Barat,Sumatera Barat,14,82,2354,51,1630,2019
Padang,Sumatera Barat,83,34,3215,327,160,2019
Sawah Lunto,Sumatera Barat,29,140,3015,469,256,2019
Padang Panjang,Sumatera Barat,115,150,2562,240,79,2019
Bukittinggi,Sumatera Barat,108,137,2483,286,83,2019
Payakumbuh,Sumatera Barat,83,57,3277,324,188,2019
Pariaman,Sumatera Barat,76,45,2964,202,350,2019
Kuantan Singingi,Riau,17,100,2730,194,978,2019
Indragiri Hulu,Riau,7,141,2369,392,936,2019
Indragiri Hilir,Riau,51,118,1843,120,859,2019
Pelalawan,Riau,53,238,2622,832,1663,2019
Siak,Riau,50,165,3097,461,1217,2019
Kampar,Riau,66,123,2450,328,1114,2019
Rokan Hulu,Riau,14,165,2342,240,1507,2019
Bengkalis,Riau,115,278,2117,309,918,2019
Rokan Hilir,Riau,9,141,1642,355,1464,2019
Kepulauan Meranti,Riau,16,111,1658,151,921,2019
Pekanbaru,Riau,143,148,2245,241,579,2019
Dumai,Riau,108,149,2135,170,914,2019
Kerinci,Jambi,12,232,2518,124,73,2019
Merangin,Jambi,8,67,2384,100,1154,2019
Sarolangun,Jambi,24,96,2337,100,1744,2019
Batang Hari,Jambi,29,177,1756,77,810,2019
Muaro Jambi,Jambi,35,260,2198,219,741,2019
Tanjung Jabung Timur,Jambi,7,149,1941,74,784,2019
Tanjung Jabung Barat,Jambi,44,161,1551,46,986,2019
Tebo,Jambi,23,195,2026,166,1172,2019
Bungo,Jambi,11,169,2672,137,929,2019
Jambi,Jambi,123,220,1708,171,413,2019
Sungai Penuh,Jambi,30,249,2872,202,53,2019
Ogan Komering Ulu,Sumatera Selatan,34,130,1066,93,804,2019
Ogan Komering Ilir,Sumatera Selatan,38,206,895,193,867,2019
Muara Enim,Sumatera Selatan,40,119,1300,152,491,2019
Lahat,Sumatera Selatan,28,134,1700,133,552,2019
Musi Rawas,Sumatera Selatan,11,167,1380,95,1107,2019
Musi Banyuasin,Sumatera Selatan,58,168,1330,307,736,2019
Banyu Asin,Sumatera Selatan,58,269,1250,226,590,2019
Ogan Komering Ulu Selatan,Sumatera Selatan,23,132,1424,176,1378,2019
Ogan Komering Ulu Timur,Sumatera Selatan,17,174,677,174,1316,2019
Ogan Ilir,Sumatera Selatan,28,115,1166,117,457,2019
Empat Lawang,Sumatera Selatan,18,146,1376,38,679,2019
Penukal Abab Lematang Ilir,Sumatera Selatan,36,149,1228,299,666,2019
Musi Rawas Utara,Sumatera Selatan,10,150,2185,96,559,2019
Palembang,Sumatera Selatan,146,387,1073,155,403,2019
Prabumulih,Sumatera Selatan,83,110,1022,81,370,2019
Pagar Alam,Sumatera Selatan,15,204,1680,246,477,2019
Lubuklinggau,Sumatera Selatan,19,214,1841,64,636,2019
Bengkulu Selatan,Bengkulu,18,125,1925,18,252,2019
Rejang Lebong,Bengkulu,26,103,2428,107,762,2019
Bengkulu Utara,Bengkulu,105,187,2193,69,936,2019
Kaur,Bengkulu,10,132,1856,62,575,2019
Seluma,Bengkulu,17,76,2310,39,361,2019
Mukomuko,Bengkulu,14,220,2611,130,877,2019
Lebong,Bengkulu,5,69,3060,157,449,2019
Kepahiang,Bengkulu,4,107,1748,46,1128,2019
Bengkulu Tengah,Bengkulu,28,124,2534,40,696,2019
Bengkulu,Bengkulu,137,260,1895,115,336,2019
Lampung Barat,Lampung,20,261,732,115,1586,2019
Tanggamus,Lampung,12,164,830,81,1340,2019
Lampung Selatan,Lampung,22,239,824,92,1019,2019
Lampung Timur,Lampung,8,82,468,124,1181,2019
Lampung Tengah,Lampung,8,157,600,104,1263,2019
Lampung Utara,Lampung,40,145,1057,161,1118,2019
Way Kanan,Lampung,32,152,744,125,1348,2019
Tulangbawang,Lampung,8,120,689,72,1149,2019
Pesawaran,Lampung,17,140,799,130,1249,2019
Pringsewu,Lampung,16,58,698,130,1180,2019
Mesuji,Lampung,8,194,499,186,1483,2019
Tulang Bawang Barat,Lampung,4,169,561,76,1014,2019
Pesisir Barat,Lampung,19,295,1532,108,1232,2019
Bandar Lampung,Lampung,62,288,1280,211,881,2019
Metro,Lampung,28,228,949,175,860,2019
Bangka,Kepulauan Bangka Belitung,147,104,1531,87,1564,2019
Belitung,Kepulauan Bangka Belitung,112,71,1785,67,1828,2019
Bangka Barat,Kepulauan Bangka Belitung,77,114,1709,47,1841,2019
Bangka Tengah,Kepulauan Bangka Belitung,82,143,1622,124,2102,2019
Bangka Selatan,Kepulauan Bangka Belitung,132,110,1552,95,2777,2019
Belitung Timur,Kepulauan Bangka Belitung,100,125,1914,47,2095,2019
Pangkal Pinang,Kepulauan Bangka Belitung,273,119,1341,114,1519,2019
Karimun,Kepulauan Riau,174,274,1317,244,1373,2019
Bintan,Kepulauan Riau,159,328,1787,464,1573,2019
Natuna,Kepulauan Riau,194,170,798,251,1854,2019
Lingga,Kepulauan Riau,96,159,846,80,1542,2019
Kepulauan Anambas,Kepulauan Riau,280,325,1578,798,3605,2019
Batam,Kepulauan Riau,192,316,2245,329,1023,2019
Tanjung Pinang,Kepulauan Riau,168,446,2464,357,1398,2019
Kep. Seribu,DKI Jakarta,139,120,1759,332,1850,2019
Jakarta Selatan,D.K.I. Jakarta,238,529,1302,209,611,2019
Jakarta Timur,D.K.I. Jakarta,160,512,1405,202,621,2019
Jakarta Pusat,D.K.I. Jakarta,238,582,1381,213,638,2019
Jakarta Barat,D.K.I. Jakarta,135,395,1252,200,674,2019
Jakarta Utara,D.K.I. Jakarta,136,413,1152,196,853,2019
Bogor,Jawa Barat,94,401,1007,182,847,2019
Sukabumi,Jawa Barat,39,376,441,64,820,2019
Cianjur,Jawa Barat,19,316,221,77,572,2019
Bandung,Jawa Barat,97,440,296,134,657,2019
Garut,Jawa Barat,22,332,80,40,507,2019
Tasikmalaya,Jawa Barat,36,315,203,84,523,2019
Ciamis,Jawa Barat,23,291,260,122,695,2019
Kuningan,Jawa Barat,24,164,480,111,520,2019
Cirebon,Jawa Barat,63,300,465,141,548,2019
Majalengka,Jawa Barat,23,151,430,58,511,2019
Sumedang,Jawa Barat,27,261,264,46,578,2019
Indramayu,Jawa Barat,66,469,545,128,843,2019
Subang,Jawa Barat,50,412,405,78,721,2019
Purwakarta,Jawa Barat,80,447,538,77,666,2019
Karawang,Jawa Barat,73,346,920,129,888,2019
Bekasi,Jawa Barat,102,221,1202,260,901,2019
Bandung Barat,Jawa Barat,40,364,262,81,661,2019
Pangandaran,Jawa Barat,33,440,303,359,1325,2019
Depok,Jawa Barat,172,449,1415,126,627,2019
Cimahi,Jawa Barat,219,528,615,152,613,2019
Banjar,Jawa Barat,30,212,223,267,721,2019
Cilacap,Jawa Tengah,5,143,363,182,882,2019
Banyumas,Jawa Tengah,18,139,553,174,749,2019
Purbalingga,Jawa Tengah,14,49,488,255,509,2019
Banjarnegara,Jawa Tengah,5,249,347,174,562,2019
Kebumen,Jawa Tengah,17,73,309,66,961,2019
Purworejo,Jawa Tengah,13,32,371,53,707,2019
Wonosobo,Jawa Tengah,15,140,415,319,703,2019
Magelang,Jawa Tengah,15,91,274,78,534,2019
Boyolali,Jawa Tengah,17,161,324,121,707,2019
Klaten,Jawa Tengah,41,133,430,104,531,2019
Sukoharjo,Jawa Tengah,57,130,447,183,658,2019
Wonogiri,Jawa Tengah,17,178,393,315,906,2019
Karanganyar,Jawa Tengah,13,207,524,179,774,2019
Sragen,Jawa Tengah,25,219,354,113,969,2019
Grobogan,Jawa Tengah,10,156,544,159,776,2019
Blora,Jawa Tengah,18,96,516,114,767,2019
Rembang,Jawa Tengah,11,170,659,205,727,2019
Pati,Jawa Tengah,6,149,650,123,526,2019
Kudus,Jawa Tengah,7,95,547,42,341,2019
Jepara,Jawa Tengah,23,132,428,77,576,2019
Demak,Jawa Tengah,28,212,783,204,514,2019
Semarang,Jawa Tengah,15,167,518,75,550,2019
Temanggung,Jawa Tengah,10,75,329,269,523,2019
Kendal,Jawa Tengah,34,146,588,150,753,2019
Batang,Jawa Tengah,11,133,497,111,640,2019
Pekalongan,Jawa Tengah,14,136,442,81,547,2019
Pemalang,Jawa Tengah,39,205,493,87,639,2019
Tegal,Jawa Tengah,33,161,672,111,575,2019
Brebes,Jawa Tengah,28,193,490,135,640,2019
Surakarta,Jawa Tengah,48,114,436,163,545,2019
Salatiga,Jawa Tengah,67,122,474,59,560,2019
Kulon Progo,D.I. Yogyakarta,34,94,390,62,314,2019
Bantul,D.I. Yogyakarta,59,114,299,95,478,2019
Gunung Kidul,D.I. Yogyakarta,16,136,309,339,858,2019
Sleman,D.I. Yogyakarta,69,88,503,127,511,2019
Yogyakarta,D.I. Yogyakarta,81,166,744,251,458,2019
Pacitan,Jawa Timur,22,192,145,85,1060,2019
Ponorogo,Jawa Timur,36,112,237,63,908,2019
Trenggalek,Jawa Timur,13,93,90,27,953,2019
Tulungagung,Jawa Timur,27,164,145,38,1023,2019
Blitar,Jawa Timur,53,80,91,13,886,2019
Kediri,Jawa Timur,36,103,297,37,809,2019
Malang,Jawa Timur,18,166,258,20,634,2019
Lumajang,Jawa Timur,9,116,175,30,678,2019
Jember,Jawa Timur,2,200,125,87,604,2019
Banyuwangi,Jawa Timur,17,155,211,21,890,2019
Bondowoso,Jawa Timur,9,196,84,63,622,2019
Situbondo,Jawa Timur,51,193,237,6,590,2019
Probolinggo,Jawa Timur,23,138,137,5,376,2019
Pasuruan,Jawa Timur,19,184,585,19,622,2019
Sidoarjo,Jawa Timur,147,495,530,83,654,2019
Mojokerto,Jawa Timur,53,322,439,88,680,2019
Jombang,Jawa Timur,22,192,303,74,705,2019
Nganjuk,Jawa Timur,74,132,286,82,934,2019
Madiun,Jawa Timur,55,142,183,67,802,2019
Magetan,Jawa Timur,54,138,389,125,721,2019
Ngawi,Jawa Timur,26,184,313,148,729,2019
Bojonegoro,Jawa Timur,10,78,485,108,894,2019
Tuban,Jawa Timur,4,156,530,100,892,2019
Lamongan,Jawa Timur,8,75,306,38,841,2019
Gresik,Jawa Timur,27,308,440,73,699,2019
Bangkalan,Jawa Timur,10,257,400,30,744,2019
Sampang,Jawa Timur,1,85,195,4,653,2019
Pamekasan,Jawa Timur,6,119,218,9,469,2019
Sumenep,Jawa Timur,25,160,353,30,568,2019
Surabaya,Jawa Timur,53,358,588,81,735,2019
Batu,Jawa Timur,75,215,287,22,703,2019
Pandeglang,Banten,23,296,475,41,652,2019
Lebak,Banten,55,344,589,112,992,2019
Tangerang,Banten,135,361,1210,181,958,2019
Serang,Banten,51,271,1022,140,896,2019
Cilegon,Banten,80,391,1135,148,749,2019
Tangerang Selatan,Banten,153,525,1519,244,1026,2019
Jembrana,Bali,4,74,358,42,939,2019
Tabanan,Bali,37,323,466,65,683,2019
Badung,Bali,169,701,677,73,1033,2019
Gianyar,Bali,23,168,368,48,1005,2019
Klungkung,Bali,70,301,562,23,1144,2019
Bangli,Bali,18,61,169,,1184,2019
Karangasem,Bali,5,49,264,,1163,2019
Buleleng,Bali,19,34,503,9,995,2019
Denpasar,Bali,97,633,486,27,1055,2019
Lombok Barat,Nusa Tenggara Barat,27,208,397,117,1077,2019
Lombok Tengah,Nusa Tenggara Barat,15,113,151,58,1263,2019
Lombok Timur,Nusa Tenggara Barat,16,141,422,127,1209,2019
Sumbawa,Nusa Tenggara Barat,15,234,231,21,891,2019
Dompu,Nusa Tenggara Barat,16,135,256,22,820,2019
Bima,Nusa Tenggara Barat,27,87,173,8,602,2019
Sumbawa Barat,Nusa Tenggara Barat,56,297,400,48,1108,2019
Lombok Utara,Nusa Tenggara Barat,,203,233,48,1257,2019
Mataram,Nusa Tenggara Barat,52,256,548,116,788,2019
Sumba Barat,Nusa Tenggara Timur,6,51,169,111,1090,2019
Sumba Timur,Nusa Tenggara Timur,2,32,40,1,921,2019
Kupang,Nusa Tenggara Timur,5,22,161,21,673,2019
Timor Tengah Selatan,Nusa Tenggara Timur,1,44,120,64,679,2019
Timor Tengah Utara,Nusa Tenggara Timur,8,49,98,38,858,2019
Belu,Nusa Tenggara Timur,6,85,420,7,471,2019
Alor,Nusa Tenggara Timur,20,55,196,69,417,2019
Lembata,Nusa Tenggara Timur,31,131,65,25,283,2019
Flores Timur,Nusa Tenggara Timur,24,62,155,5,217,2019
Sikka,Nusa Tenggara Timur,19,32,41,3,471,2019
Ende,Nusa Tenggara Timur,9,17,217,7,1027,2019
Ngada,Nusa Tenggara Timur,22,60,384,29,1065,2019
Manggarai,Nusa Tenggara Timur,12,83,98,44,631,2019
Rote Ndao,Nusa Tenggara Timur,25,40,92,13,494,2019
Manggarai Barat,Nusa Tenggara Timur,34,77,218,5,274,2019
Sumba Tengah,Nusa Tenggara Timur,0,18,153,105,1032,2019
Sumba Barat Daya,Nusa Tenggara Timur,,34,53,34,949,2019
Nagekeo,Nusa Tenggara Timur,2,4,110,25,797,2019
Manggarai Timur,Nusa Tenggara Timur,6,19,28,37,231,2019
Sabu Raijua,Nusa Tenggara Timur,14,97,402,143,751,2019
Malaka,Nusa Tenggara Timur,2,132,297,60,296,2019
Sambas,Kalimantan Barat,22,163,499,160,850,2019
Bengkayang,Kalimantan Barat,13,286,125,62,1294,2019
Landak,Kalimantan Barat,15,217,39,13,1158,2019
Mempawah,Kalimantan Barat,35,108,289,41,1005,2019
Sanggau,Kalimantan Barat,47,172,169,45,1072,2019
Ketapang,Kalimantan Barat,57,218,534,62,1927,2019
Sintang,Kalimantan Barat,20,231,303,199,1057,2019
Kapuas Hulu,Kalimantan Barat,57,264,221,58,1325,2019
Sekadau,Kalimantan Barat,32,288,568,163,470,2019
Melawi,Kalimantan Barat,3,115,223,124,2175,2019
Kayong Utara,Kalimantan Barat,45,150,389,24,2047,2019
Kubu Raya,Kalimantan Barat,60,304,541,47,1049,2019
Pontianak,Kalimantan Barat,100,479,306,74,1080,2019
Singkawang,Kalimantan Barat,72,229,206,233,871,2019
Kotawaringin Barat,Kalimantan Tengah,32,286,425,82,1582,2019
Kotawaringin Timur,Kalimantan Tengah,55,464,271,72,1218,2019
Kapuas,Kalimantan Tengah,45,360,220,82,799,2019
Barito Selatan,Kalimantan Tengah,123,525,184,144,782,2019
Barito Utara,Kalimantan Tengah,74,306,110,60,972,2019
Sukamara,Kalimantan Tengah,98,392,646,38,1547,2019
Lamandau,Kalimantan Tengah,28,265,298,50,2513,2019
Seruyan,Kalimantan Tengah,64,444,330,41,1853,2019
Katingan,Kalimantan Tengah,53,463,273,28,1782,2019
Pulang Pisau,Kalimantan Tengah,35,312,321,59,1227,2019
Gunung Mas,Kalimantan Tengah,57,395,237,34,1773,2019
Barito Timur,Kalimantan Tengah,49,452,65,40,758,2019
Murung Raya,Kalimantan Tengah,82,341,372,47,1205,2019
Palangka Raya,Kalimantan Tengah,70,522,387,147,992,2019
Tanah Laut,Kalimantan Selatan,21,338,247,89,760,2019
Kotabaru,Kalimantan Selatan,88,211,130,58,1026,2019
Barito Kuala,Kalimantan Selatan,42,257,217,248,592,2019
Tapin,Kalimantan Selatan,50,294,333,276,906,2019
Hulu Sungai Selatan,Kalimantan Selatan,37,193,257,267,588,2019
Hulu Sungai Tengah,Kalimantan Selatan,39,307,144,69,539,2019
Hulu Sungai Utara,Kalimantan Selatan,46,211,212,183,449,2019
Tabalong,Kalimantan Selatan,40,351,154,121,978,2019
Tanah Bumbu,Kalimantan Selatan,74,470,207,99,1067,2019
Balangan,Kalimantan Selatan,50,190,138,70,463,2019
Banjarmasin,Kalimantan Selatan,100,538,396,219,495,2019
Banjar Baru,Kalimantan Selatan,111,399,390,274,884,2019
Paser,Kalimantan Timur,54,366,364,81,903,2019
Kutai Barat,Kalimantan Timur,47,403,122,38,1209,2019
Kutai Kartanegara,Kalimantan Timur,75,368,618,129,923,2019
Kutai Timur,Kalimantan Timur,82,431,591,72,1678,2019
Berau,Kalimantan Timur,187,279,465,95,1905,2019
Penajam Paser Utara,Kalimantan Timur,93,495,283,33,1570,2019
Mahakam Ulu,Kalimantan Timur,26,314,211,48,1805,2019
Balikpapan,Kalimantan Timur,121,470,293,68,905,2019
Samarinda,Kalimantan Timur,121,479,255,53,850,2019
Bontang,Kalimantan Timur,133,302,523,64,1176,2019
Malinau,Kalimantan Utara,22,249,445,37,2107,2019
Bulungan,Kalimantan Utara,64,259,208,113,1877,2019
Tana Tidung,Kalimantan Utara,138,246,367,52,1716,2019
Nunukan,Kalimantan Utara,96,236,189,35,1145,2019
Tarakan,Kalimantan Utara,107,183,364,16,1033,2019
Bolaang Mongondow,Sulawesi Utara,8,117,146,34,2590,2019
Minahasa,Sulawesi Utara,5,129,233,7,2012,2019
Kepulauan Sangihe,Sulawesi Utara,16,308,59,9,1959,2019
Kepulauan Talaud,Sulawesi Utara,11,91,146,,2236,2019
Minahasa Selatan,Sulawesi Utara,14,145,313,47,2469,2019
Minahasa Utara,Sulawesi Utara,64,166,326,4,3237,2019
Bolaang Mongondow Utara,Sulawesi Utara,13,175,451,7,1568,2019
Siau Tagulandang Biaro,Sulawesi Utara,22,80,191,,2514,2019
Minahasa Tenggara,Sulawesi Utara,16,153,175,19,2710,2019
Bolaang Mongondow Selatan,Sulawesi Utara,7,218,174,6,2215,2019
Bolaang Mongondow Timur,Sulawesi Utara,14,159,353,38,2135,2019
Manado,Sulawesi Utara,62,114,275,11,2429,2019
Bitung,Sulawesi Utara,74,222,136,4,2549,2019
Tomohon,Sulawesi Utara,14,59,99,20,2771,2019
Kotamobagu,Sulawesi Utara,19,128,97,3,2256,2019
Banggai Kepulauan,Sulawesi Tengah,1,103,183,,1047,2019
Banggai,Sulawesi Tengah,20,127,332,6,1108,2019
Morowali,Sulawesi Tengah,95,187,267,19,1552,2019
Poso,Sulawesi Tengah,14,250,112,8,1726,2019
Donggala,Sulawesi Tengah,19,109,478,26,1230,2019
Toli-Toli,Sulawesi Tengah,20,139,411,35,984,2019
Buol,Sulawesi Tengah,3,187,200,18,1265,2019
Parigi Moutong,Sulawesi Tengah,0,80,205,8,1446,2019
Tojo Una-Una,Sulawesi Tengah,26,135,112,1,1438,2019
Sigi,Sulawesi Tengah,12,146,312,93,1886,2019
Banggai Laut,Sulawesi Tengah,26,297,383,1,840,2019
Morowali Utara,Sulawesi Tengah,32,271,317,73,972,2019
Palu,Sulawesi Tengah,72,124,564,22,1383,2019
Kepulauan Selayar,Sulawesi Selatan,164,238,421,7,464,2019
Bulukumba,Sulawesi Selatan,86,100,167,7,390,2019
Bantaeng,Sulawesi Selatan,78,147,126,5,452,2019
Jeneponto,Sulawesi Selatan,67,111,87,6,355,2019
Takalar,Sulawesi Selatan,58,95,92,4,386,2019
Gowa,Sulawesi Selatan,77,226,138,13,401,2019
Sinjai,Sulawesi Selatan,56,98,386,10,383,2019
Maros,Sulawesi Selatan,116,200,173,7,474,2019
Pangkajene dan Kepulauan,Sulawesi Selatan,96,171,212,28,336,2019
Barru,Sulawesi Selatan,45,133,174,1,418,2019
Bone,Sulawesi Selatan,64,81,181,18,388,2019
Soppeng,Sulawesi Selatan,84,128,315,35,427,2019
Wajo,Sulawesi Selatan,132,209,539,44,644,2019
Sidenreng Rappang,Sulawesi Selatan,52,172,407,14,663,2019
Pinrang,Sulawesi Selatan,33,127,375,11,435,2019
Enrekang,Sulawesi Selatan,34,106,49,3,483,2019
Luwu,Sulawesi Selatan,23,161,36,16,729,2019
Tana Toraja,Sulawesi Selatan,3,61,88,155,1044,2019
Luwu Utara,Sulawesi Selatan,56,92,26,1,962,2019
Luwu Timur,Sulawesi Selatan,99,161,119,32,1049,2019
Toraja Utara,Sulawesi Selatan,29,86,76,174,1077,2019
Makasar,Sulawesi Selatan,159,288,328,21,713,2019
Parepare,Sulawesi Selatan,113,152,272,12,606,2019
Palopo,Sulawesi Selatan,104,102,39,3,805,2019
Buton,Sulawesi Tenggara,45,122,196,4,347,2019
Muna,Sulawesi Tenggara,28,57,59,13,378,2019
Konawe,Sulawesi Tenggara,32,165,98,11,666,2019
Kolaka,Sulawesi Tenggara,88,216,168,14,679,2019
Konawe Selatan,Sulawesi Tenggara,29,264,88,10,803,2019
Bombana,Sulawesi Tenggara,108,150,128,16,536,2019
Wakatobi,Sulawesi Tenggara,76,102,149,2,195,2019
Kolaka Utara,Sulawesi Tenggara,72,174,90,7,755,2019
Buton Utara,Sulawesi Tenggara,43,136,98,13,216,2019
Konawe Utara,Sulawesi Tenggara,98,236,105,3,679,2019
Kolaka Timur,Sulawesi Tenggara,35,159,61,1,611,2019
Konawe Kepulauan,Sulawesi Tenggara,43,142,71,6,782,2019
Muna Barat,Sulawesi Tenggara,13,41,57,3,279,2019
Buton Tengah,Sulawesi Tenggara,23,238,103,0,240,2019
Buton Selatan,Sulawesi Tenggara,26,125,142,7,156,2019
Kendari,Sulawesi Tenggara,154,217,189,26,783,2019
Baubau,Sulawesi Tenggara,91,96,88,3,534,2019
Boalemo,Gorontalo,4,185,8,,2367,2019
Gorontalo,Gorontalo,13,102,28,10,2154,2019
Pohuwato,Gorontalo,8,169,3,13,2364,2019
Bone Bolango,Gorontalo,11,85,54,,2277,2019
Gorontalo Utara,Gorontalo,1,100,17,,2052,2019
Majene,Sulawesi Barat,100,181,835,10,380,2019
Polewali Mandar,Sulawesi Barat,31,151,780,10,530,2019
Mamasa,Sulawesi Barat,11,38,82,24,418,2019
Mamuju,Sulawesi Barat,24,119,443,3,629,2019
Mamuju Utara,Sulawesi Barat,40,229,822,87,1117,2019
Mamuju Tengah,Sulawesi Barat,29,162,514,7,857,2019
Maluku Tenggara Barat,Maluku,36,171,419,130,689,2019
Maluku Tenggara,Maluku,50,77,126,2,841,2019
Maluku Tengah,Maluku,11,161,543,27,712,2019
Buru,Maluku,29,121,687,51,1064,2019
Kepulauan Aru,Maluku,46,63,132,12,1138,2019
Seram Bagian Barat,Maluku,11,61,409,36,760,2019
Seram Bagian Timur,Maluku,48,108,680,14,1025,2019
Maluku Barat Daya,Maluku,42,92,204,62,1331,2019
