Kabupaten/Kota,Sambal jadi,Tahun,Provinsi
Kep. Seribu,146,2018,DKI Jakarta
Jakarta Selatan,312,2018,D.K.I. Jakarta
Jakarta Timur,193,2018,D.K.I. Jakarta
Jakarta Pusat,125,2018,D.K.I. Jakarta
Jakarta Barat,162,2018,D.K.I. Jakarta
Jakarta Utara,134,2018,D.K.I. Jakarta
Bogor,85,2018,Jawa Barat
Sukabumi,29,2018,Jawa Barat
Cianjur,51,2018,Jawa Barat
Bandung,107,2018,Jawa Barat
Garut,32,2018,Jawa Barat
Tasikmalaya,17,2018,Jawa Barat
Ciamis,17,2018,Jawa Barat
Kuningan,20,2018,Jawa Barat
Cirebon,48,2018,Jawa Barat
Majalengka,31,2018,Jawa Barat
Sumedang,41,2018,Jawa Barat
Indramayu,74,2018,Jawa Barat
Subang,52,2018,Jawa Barat
Purwakarta,43,2018,Jawa Barat
Karawang,100,2018,Jawa Barat
Bekasi,62,2018,Jawa Barat
Bandung Barat,30,2018,Jawa Barat
Pangandaran,28,2018,Jawa Barat
Depok,181,2018,Jawa Barat
Cimahi,152,2018,Jawa Barat
Banjar,19,2018,Jawa Barat
Cilacap,29,2018,Jawa Tengah
Banyumas,29,2018,Jawa Tengah
Purbalingga,17,2018,Jawa Tengah
Banjarnegara,12,2018,Jawa Tengah
Kebumen,12,2018,Jawa Tengah
Purworejo,13,2018,Jawa Tengah
Wonosobo,14,2018,Jawa Tengah
Magelang,21,2018,Jawa Tengah
Boyolali,28,2018,Jawa Tengah
Klaten,41,2018,Jawa Tengah
Sukoharjo,27,2018,Jawa Tengah
Wonogiri,7,2018,Jawa Tengah
Karanganyar,9,2018,Jawa Tengah
Sragen,24,2018,Jawa Tengah
Grobogan,19,2018,Jawa Tengah
Blora,25,2018,Jawa Tengah
Rembang,9,2018,Jawa Tengah
Pati,8,2018,Jawa Tengah
Kudus,19,2018,Jawa Tengah
Jepara,21,2018,Jawa Tengah
Demak,17,2018,Jawa Tengah
Semarang,43,2018,Jawa Tengah
Temanggung,7,2018,Jawa Tengah
Kendal,28,2018,Jawa Tengah
Batang,17,2018,Jawa Tengah
Pekalongan,18,2018,Jawa Tengah
Pemalang,46,2018,Jawa Tengah
Tegal,31,2018,Jawa Tengah
Brebes,49,2018,Jawa Tengah
Surakarta,94,2018,Jawa Tengah
Salatiga,42,2018,Jawa Tengah
Kulon Progo,13,2018,D.I. Yogyakarta
Bantul,63,2018,D.I. Yogyakarta
Gunung Kidul,5,2018,D.I. Yogyakarta
Sleman,50,2018,D.I. Yogyakarta
Yogyakarta,138,2018,D.I. Yogyakarta
Pacitan,10,2018,Jawa Timur
Ponorogo,16,2018,Jawa Timur
Trenggalek,13,2018,Jawa Timur
Tulungagung,32,2018,Jawa Timur
Blitar,33,2018,Jawa Timur
Kediri,35,2018,Jawa Timur
Malang,28,2018,Jawa Timur
Lumajang,14,2018,Jawa Timur
Jember,12,2018,Jawa Timur
Banyuwangi,22,2018,Jawa Timur
Bondowoso,9,2018,Jawa Timur
Situbondo,22,2018,Jawa Timur
Probolinggo,8,2018,Jawa Timur
Pasuruan,22,2018,Jawa Timur
Sidoarjo,119,2018,Jawa Timur
Mojokerto,30,2018,Jawa Timur
Jombang,28,2018,Jawa Timur
Nganjuk,67,2018,Jawa Timur
Madiun,82,2018,Jawa Timur
Magetan,50,2018,Jawa Timur
Ngawi,14,2018,Jawa Timur
Bojonegoro,5,2018,Jawa Timur
Tuban,8,2018,Jawa Timur
Lamongan,24,2018,Jawa Timur
Gresik,64,2018,Jawa Timur
Bangkalan,20,2018,Jawa Timur
Sampang,13,2018,Jawa Timur
Pamekasan,5,2018,Jawa Timur
Sumenep,12,2018,Jawa Timur
Surabaya,161,2018,Jawa Timur
Batu,48,2018,Jawa Timur
Pandeglang,41,2018,Banten
Lebak,61,2018,Banten
Tangerang,96,2018,Banten
Serang,55,2018,Banten
Cilegon,130,2018,Banten
Tangerang Selatan,221,2018,Banten
Jembrana,16,2018,Bali
Tabanan,39,2018,Bali
Badung,121,2018,Bali
Gianyar,23,2018,Bali
